uniqueKey,path,url,createdAt,page,sortBy,sortOrder,txRx,licenceDateType,fromDate,toDate,gridRefDefault,fromFrequency,toFrequency,licenceStatus,totalPages,totalItems,statusCode
377f95d0952531a4c59902cdb4ded104,data/page/377f95d0952531a4c59902cdb4ded104.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=2&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-24&toDate=2024-11-25&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,2,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-24,2024-11-25,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,327,200
2f0a03c46132915a6e3ee7a744c4b37e,data/page/2f0a03c46132915a6e3ee7a744c4b37e.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-24&toDate=2024-11-25&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-24,2024-11-25,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,327,200
01cbc86c7d1891233586cbe443a51651,data/page/01cbc86c7d1891233586cbe443a51651.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-23&toDate=2024-11-24&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-23,2024-11-24,LAT_LONG_NZGD2000_D2000,NA,NA,NA,1,18,200
35565b9d3f5f8583a58607834aaf058f,data/page/35565b9d3f5f8583a58607834aaf058f.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=4&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-22&toDate=2024-11-23&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,4,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-22,2024-11-23,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,359,200
5e2000b0b04b047c20ca8a7b7246ea2c,data/page/5e2000b0b04b047c20ca8a7b7246ea2c.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=3&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-22&toDate=2024-11-23&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,3,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-22,2024-11-23,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,359,200
146b20300d2750dc5eb381a4d98efe31,data/page/146b20300d2750dc5eb381a4d98efe31.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=2&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-22&toDate=2024-11-23&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,2,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-22,2024-11-23,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,359,200
668dc5d828bc0efb0049309b42ef4ecd,data/page/668dc5d828bc0efb0049309b42ef4ecd.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-22&toDate=2024-11-23&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T05:47:21Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-22,2024-11-23,LAT_LONG_NZGD2000_D2000,NA,NA,NA,4,359,200
c3913377e16ff08349ae9ae647892dc0,data/page/c3913377e16ff08349ae9ae647892dc0.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-25&toDate=2024-11-26&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T05:47:21Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-25,2024-11-26,LAT_LONG_NZGD2000_D2000,NA,NA,NA,8,712,200
9ee4100e47bd673875934b7d948f96a0,data/page/9ee4100e47bd673875934b7d948f96a0.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T05:47:21Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
70f82c6aff3a476decdcc26bd60f8ec9,data/page/70f82c6aff3a476decdcc26bd60f8ec9.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=1&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-27&toDate=2024-11-28&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T05:47:21Z,1,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-27,2024-11-28,LAT_LONG_NZGD2000_D2000,NA,NA,NA,7,652,200
